Company,"CIK Code","IRS Number",Ticker,Market,"Bus Street 1","Bus Street 2",City,County,"State Code","State Name","State Region",Zip,"Bus Phone","Parent CIK","Parent Name","SIC Code","SIC Description","NAICS Code","NAICS Description","Filer Act","S&P Index",Auditor,"Auditor Key","Auditor Affiliate","Auditor City","Auditor State Code","Auditor State Name","Auditor State Region","IC Opinion Key","Internal Control Report","Restated Internal Control Report",Opinion,"Agrees with Management","IC Framework","Effective Internal Controls","Year Ended Date","Fiscal Year","Signature Date","Note Dates","Filing Index Page","Source FTP Key",Source,"Source Date","Accounting Rule (GAAP/FASB) Application Failures","Financial Fraud, Irregularities and Misrepresentations","Errors in Accounting and Clerical Applications","Internal Control Weakness","Internal Control - Number Weaknesses Identified",Exemption(s),"Fees Currency","Audit Fees ($)","Non-Audit Fees ($)","Total Fees ($)","Share Price","Stock Price Date","Market Cap ($)","Financials Date","Revenue ($)","Earnings ($)","Book Value ($)","Assets ($)","First Auditor Report","First Management Report"
"RICHARDSON ELECTRONICS, LTD.",355948,36-2096643,RELL,"NASDAQ Global Select Market","40W267 KESLINGER RD","PO BOX 393",LAFOX,Kane,IL,ILLINOIS,"US Midwest",60147,"(630) 208-2200",,,5065,"Electronic Parts and Equipment, NEC",334419,"Other Electronic Component Manufacturing",34,,"BDO USA LLP",11761,,Chicago,IL,ILLINOIS,"US Midwest",196013,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-05-29,2021,2021-08-02,,https://www.sec.gov/Archives/edgar/data/355948/000156459021039728/0001564590-21-039728-index.htm,edgar/data/355948/0001564590-21-039728.txt,10-K,"2021-08-02 14:08:05",,,,,0,,USD,"742,804","16,787","759,591",8.3,2021-05-27,"92,219,104",2021-05-29,"176,937,000","1,655,000","119,290,000","156,753,000",,
"Distribution Solutions Group, Inc.",703604,36-2229304,DSGR,"NASDAQ Global Select Market","8770 WEST BRYN MAWR AVENUE","SUITE 900",CHICAGO,Cook,IL,ILLINOIS,"US Midwest",60631,"(773) 304-5220",,,5080,"Wholesale-Machinery, Equipment & Supplies",423710,"Hardware Merchant Wholesalers",34,,"BDO USA LLP",11761,,Chicago,IL,ILLINOIS,"US Midwest",199481,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2022-02-24,,https://www.sec.gov/Archives/edgar/data/703604/000070360422000019/0000703604-22-000019-index.htm,edgar/data/703604/0000703604-22-000019.txt,10-K,"2022-02-24 07:48:31",,,,,0,,USD,"745,710","162,242","907,952",55,2021-12-29,"499,309,088",2021-12-31,"520,290,000","-5,052,000","-35,050,000","491,360,000",,
"CECO ENVIRONMENTAL CORP",3197,13-2566064,CECO,"NASDAQ Global Select Market","14651 NORTH DALLAS PARKWAY","SUITE 500",DALLAS,Dallas,TX,TEXAS,"US Southwest",75254,"(513) 458-2600",,,3564,"Industrial and Commercial Fans and Blowers and Air  Purification Equipment",335311,"Power, Distribution, and Specialty Transformer Manufacturing",34,,"BDO USA LLP",11761,,Cincinnati,OH,OHIO,"US Midwest",202905,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2022-03-14,,https://www.sec.gov/Archives/edgar/data/3197/000095017022003502/0000950170-22-003502-index.htm,edgar/data/3197/0000950170-22-003502.txt,10-K,"2022-03-14 07:15:32",,,,,0,,USD,"1,260,321","127,000","1,387,321",6.19,2021-12-29,"221,658,272",2021-12-31,"324,140,000","1,426,000","7,901,000","416,197,000",,
"TILLY'S, INC.",1524025,45-2164791,TLYS,NYSE,"10 WHATNEY",,IRVINE,Orange,CA,CALIFORNIA,"US West",92618,"(949) 609-5599",,,5600,"Retail-Apparel & Accessory Stores",448140,"Family Clothing Stores",34,,"BDO USA LLP",11761,,"Costa Mesa",CA,CALIFORNIA,"US West",194209,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-01-30,2021,2021-03-31,,https://www.sec.gov/Archives/edgar/data/1524025/000162828021006293/0001628280-21-006293-index.htm,edgar/data/1524025/0001628280-21-006293.txt,10-K,"2021-03-31 20:54:53",,,,,0,,USD,"564,000","10,000","574,000",9.86,2021-02-01,"221,601,920",2021-01-30,"531,329,000","-1,145,000",,"507,456,000",,
"Inari Medical, Inc.",1531048,45-2902923,NARI,"NASDAQ Global Market","6001 OAK CANYON, SUITE 100",,IRVINE,Orange,CA,CALIFORNIA,"US West",92618,"(949) 923-4747",,,3841,"Surgical and Medical Instruments and Apparatus",339113,"Surgical Appliance and Supplies Manufacturing",34,"S&P 400 MidCap","BDO USA LLP",11761,,"Costa Mesa",CA,CALIFORNIA,"US West",199176,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2022-02-23,,https://www.sec.gov/Archives/edgar/data/1531048/000095017022001783/0000950170-22-001783-index.htm,edgar/data/1531048/0000950170-22-001783.txt,10-K,"2022-02-23 16:13:13",,,,,0,,USD,"568,633","20,500","589,133",90.3,2021-12-29,"4,533,489,664",2021-12-31,"276,984,000","9,840,000",,"311,542,000",Yes,
"Axonics, Inc.",1603756,45-4744083,AXNX,"NASDAQ Global Select Market","26 TECHNOLOGY DRIVE",,IRVINE,Orange,CA,CALIFORNIA,"US West",92618,"(949) 396-6322",,,3841,"Surgical and Medical Instruments and Apparatus",334510,"Electromedical and Electrotherapeutic Apparatus Manufacturing",34,,"BDO USA LLP",11761,,"Costa Mesa",CA,CALIFORNIA,"US West",201876,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,1992,No,2021-12-31,2021,2022-03-01,,https://www.sec.gov/Archives/edgar/data/1603756/000160375622000011/0001603756-22-000011-index.htm,edgar/data/1603756/0001603756-22-000011.txt,10-K,"2022-03-01 17:21:54","|Acc - Acquisition, merger, disposal or reorganization issues|",,,"|IC - Accounting documentation, policy and/or procedures|",1,,USD,"630,577","24,564","655,141",55.54,2021-12-29,"2,571,354,368",2021-12-31,"180,290,000","-80,067,000","270,459,000","547,945,000",,
"El Pollo Loco Holdings, Inc.",1606366,20-3563182,LOCO,"NASDAQ Global Select Market","3535 HARBOR BOULEVARD","SUITE 100","COSTA MESA",Orange,CA,CALIFORNIA,"US West",92626,"(714) 599-5000",,,5812,"Eating and Drinking Places",722110,"Full-Service Restaurants",34,"S&P 600 SmallCap","BDO USA LLP",11761,,"Costa Mesa",CA,CALIFORNIA,"US West",202881,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-12-29,2021,2022-03-11,,https://www.sec.gov/Archives/edgar/data/1606366/000160636622000014/0001606366-22-000014-index.htm,edgar/data/1606366/0001606366-22-000014.txt,10-K,"2022-03-11 14:37:19",,,,,0,,USD,"623,480","21,960","645,440",14.19,2021-12-31,"518,800,096",2021-12-29,"454,363,000","29,121,000","61,000","613,786,000",,
"AMERICAN VANGUARD CORP",5981,95-2588080,AVD,NYSE,"4695 MACARTHUR COURT",,"NEWPORT BEACH",Orange,CA,CALIFORNIA,"US West",92660,"(949) 260-1200",,,2870,"Agricultural Chemicals",325320,"Pesticide and Other Agricultural Chemical Manufacturing",34,"S&P 600 SmallCap","BDO USA LLP",11761,,"Costa Mesa",CA,CALIFORNIA,"US West",202887,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2022-03-11,,https://www.sec.gov/Archives/edgar/data/5981/000156459022009941/0001564590-22-009941-index.htm,edgar/data/5981/0001564590-22-009941.txt,10-K,"2022-03-11 21:54:01",,,,,0,,USD,"1,102,000","412,000","1,514,000",16.24,2021-12-29,"502,360,320",2021-12-31,"557,676,000","18,587,000","128,637,000","694,160,000",,
"Tattooed Chef, Inc.",1741231,82-5457906,TTCF,"NASDAQ Capital Market","6305 ALONDRA BLVD.",,PARAMOUNT,"Los Angeles",CA,CALIFORNIA,"US West",90723,"(949) 500-4455",,,2090,"Miscellaneous Food Preparations & Kindred Products",311411,"Frozen Fruit, Juice, and Vegetable Manufacturing",34,,"BDO USA LLP",11761,,"Costa Mesa",CA,CALIFORNIA,"US West",203386,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,No,2021-12-31,2021,2022-03-16,,https://www.sec.gov/Archives/edgar/data/1741231/000121390022012981/0001213900-22-012981-index.htm,edgar/data/1741231/0001213900-22-012981.txt,10-K,"2022-03-16 17:03:11","|Acc - Acquisition, merger, disposal or reorganization issues|Acc - Revenue recognition issues|Acc - Tax expense/benefit/deferral/other (FAS 109) issues|",,,"|IC - Inadequate disclosure controls (timely, accuracy, completeness)|IC - Untimely or inadequate account reconciliations|IC - Accounting documentation, policy and/or procedures|IC - Information technology, software, security & access issues|IC - Segregations of duties/ design of controls (personnel)|IC - Accounting personnel resources, competency/training|IC - Journal entry control issues|IC - Non-routine transaction control issues|",9,"|Ex - Acquisition(s) during the past year (exemption)|",USD,"810,024","156,490","966,514",15.32,2021-12-29,"1,255,970,304",2021-12-31,"207,994,000","-86,958,000","191,922,000","268,895,000",Yes,
"EZCORP INC",876523,74-2540145,EZPW,"NASDAQ Global Select Market","2500 BEE CAVE ROAD","BUILDING 1, SUITE 200",ROLLINGWOOD,Travis,TX,TEXAS,"US Southwest",78746,"(512) 314-3444",,,5900,"Retail-Miscellaneous Retail",522298,"All Other Nondepository Credit Intermediation",34,"S&P 600 SmallCap","BDO USA LLP",11761,,Dallas,TX,TEXAS,"US Southwest",196860,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-09-30,2021,2021-11-17,,https://www.sec.gov/Archives/edgar/data/876523/000087652321000068/0000876523-21-000068-index.htm,edgar/data/876523/0000876523-21-000068.txt,10-K,"2021-11-17 16:34:43",,,,,0,,USD,"1,556,000",0,"1,556,000",7.89,2021-09-28,"418,852,000",2021-09-30,"729,551,000","8,612,000","324,376,000","1,266,911,000",,
"H&E Equipment Services, Inc.",1339605,81-0553291,HEES,"NASDAQ Global Select Market","7500 PECUE LANE",,"BATON ROUGE","East Baton Rouge",LA,LOUISIANA,"US Southeast",70809,"(225) 298-5200",,,7350,"Services-Miscellaneous Equipment Rental & Leasing",532412,"Construction, Mining, and Forestry Machinery and Equipment Rental and Leasing",34,,"BDO USA LLP",11761,,Dallas,TX,TEXAS,"US Southwest",199669,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2022-02-24,,https://www.sec.gov/Archives/edgar/data/1339605/000095017022001961/0000950170-22-001961-index.htm,edgar/data/1339605/0000950170-22-001961.txt,10-K,"2022-02-24 16:07:02",,,,,0,,USD,"760,000","221,850","981,850",44.75,2021-12-29,"1,617,400,960",2021-12-31,"1,062,797,000","102,540,000","215,254,000","2,080,447,000",,
"ASHFORD HOSPITALITY TRUST INC",1232582,86-1062192,AHT,NYSE,"14185 DALLAS PARKWAY SUITE 1100",,DALLAS,Dallas,TX,TEXAS,"US Southwest",75254,"(972) 490-9600",,,6798,"Real Estate Investment Trusts",525930,"Real Estate Investment Trusts",34,,"BDO USA LLP",11761,,Dallas,TX,TEXAS,"US Southwest",200920,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2022-02-28,,https://www.sec.gov/Archives/edgar/data/1232582/000123258222000038/0001232582-22-000038-index.htm,edgar/data/1232582/0001232582-22-000038.txt,10-K,"2022-02-28 16:33:46",,,,,0,,USD,"1,084,925",0,"1,084,925",9.92,2021-12-29,"335,846,496",2021-12-31,"805,411,000","-267,005,000","19,291,000","4,098,143,000",,
"Braemar Hotels & Resorts Inc.",1574085,46-2488594,BHR,NYSE,"14185 DALLAS PARKWAY","SUITE 1100",DALLAS,Dallas,TX,TEXAS,"US Southwest",75254,"(972) 490-9600",,,6798,"Real Estate Investment Trusts",525930,"Real Estate Investment Trusts",34,,"BDO USA LLP",11761,,Dallas,TX,TEXAS,"US Southwest",202580,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2022-03-10,,https://www.sec.gov/Archives/edgar/data/1574085/000157408522000032/0001574085-22-000032-index.htm,edgar/data/1574085/0001574085-22-000032.txt,10-K,"2022-03-10 16:19:35",,,,,0,,USD,"678,671",0,"678,671",5.11,2021-12-29,"329,610,400",2021-12-31,"427,542,000","-26,664,000","536,153,000","1,879,522,000",,
"PFSWEB INC",1095315,75-2837058,PFSW,"NASDAQ Capital Market","9250 N. ROYAL LANE, SUITE 100",,IRVING,Dallas,TX,TEXAS,"US Southwest",75063,"(972) 881-2900",,,7389,"Business Services, NEC",541611,"Administrative Management and General Management Consulting Services",34,,"BDO USA LLP",11761,,Dallas,TX,TEXAS,"US Southwest",206361,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,No,2021-12-31,2021,2022-05-09,,https://www.sec.gov/Archives/edgar/data/1095315/000109531522000054/0001095315-22-000054-index.htm,edgar/data/1095315/0001095315-22-000054.txt,10-K,"2022-05-09 16:07:07","|Acc - Accounts/loans receivable,  investments  & cash issues|Acc - Revenue recognition issues|Acc - Tax expense/benefit/deferral/other (FAS 109) issues|",,,"|IC - Accounting documentation, policy and/or procedures|IC - Information technology, software, security & access issues|IC - Segregations of duties/ design of controls (personnel)|IC - Accounting personnel resources, competency/training|",1,,USD,"1,490,000","61,000","1,551,000",13.09,2021-12-29,"276,200,544",2021-12-31,"277,302,000","147,234,000","187,558,000","326,466,000",,
"NEOGEN CORP",711377,38-2367843,NEOG,"NASDAQ Global Select Market","620 LESHER PLACE",,LANSING,Ingham,MI,MICHIGAN,"US Midwest",48912,"(517) 372-9200",,,2835,"In Vitro and In Vivo Diagnostic Substances",325412,"Pharmaceutical Preparation Manufacturing",34,"S&P 400 MidCap","BDO USA LLP",11761,,"Grand Rapids",MI,MICHIGAN,"US Midwest",196008,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-05-31,2021,2021-07-30,,https://www.sec.gov/Archives/edgar/data/711377/000119312521230829/0001193125-21-230829-index.htm,edgar/data/711377/0001193125-21-230829.txt,10-K,"2021-07-30 14:13:30",,,,,0,,USD,"525,306","159,000","684,306",90.49,2021-06-02,"4,842,233,856",2021-05-31,"468,459,000","60,882,000","616,585,000","920,192,000",,
"MACATAWA BANK CORP",1053584,38-3391345,MCBC,"NASDAQ Global Select Market","10753 MACATAWA DRIVE",,HOLLAND,Ottawa,MI,MICHIGAN,"US Midwest",49424,"(616) 820-1444",,,6022,"State Commercial Banks",522110,"Commercial Banking",34,,"BDO USA LLP",11761,,"Grand Rapids",MI,MICHIGAN,"US Midwest",198463,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2022-02-17,,https://www.sec.gov/Archives/edgar/data/1053584/000114036122005958/0001140361-22-005958-index.htm,edgar/data/1053584/0001140361-22-005958.txt,10-K,"2022-02-17 16:17:03",,,,,0,,USD,"350,365","42,700","393,065",8.83,2021-12-29,"301,895,936",2021-12-31,"81,814,000","29,014,000",,"2,928,751,000",,
"MERCANTILE BANK CORP",1042729,38-3360865,MBWM,"NASDAQ Global Select Market","310 LEONARD STREET NW",,"GRAND RAPIDS",Kent,MI,MICHIGAN,"US Midwest",49504,"(616) 406-3000",,,6022,"State Commercial Banks",522110,"Commercial Banking",34,,"BDO USA LLP",11761,,"Grand Rapids",MI,MICHIGAN,"US Midwest",202197,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2022-03-04,,https://www.sec.gov/Archives/edgar/data/1042729/000143774922005284/0001437749-22-005284-index.htm,edgar/data/1042729/0001437749-22-005284.txt,10-K,"2022-03-04 15:01:43",,,,,0,,USD,"466,250","94,950","561,200",35.3,2021-12-29,"553,173,760",2021-12-31,"184,582,000","59,021,000","405,735,000","5,257,749,000",,
"GREENLIGHT CAPITAL RE, LTD.",1385613,00-0000000,GLRE,"NASDAQ Global Select Market","65 MARKET STREET, SUITE 1207,","CAMANA BAY, P.O. BOX 31110","GRAND CAYMAN",,E9,"CAYMAN ISLANDS",Foreign,KY1-1205,"(345) 943-4573",,,6331,"Fire, Marine, and Casualty Insurance",524130,"Reinsurance Carriers",34,,"BDO USA LLP",11761,,"Grand Rapids",MI,MICHIGAN,"US Midwest",202402,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2022-03-08,,https://www.sec.gov/Archives/edgar/data/1385613/000138561322000026/0001385613-22-000026-index.htm,edgar/data/1385613/0001385613-22-000026.txt,10-K,"2022-03-08 17:01:15",,,,,0,,USD,"505,872",0,"505,872",7.59,2021-12-29,"209,406,064",2021-12-31,"588,551,000","17,578,000",,"1,427,494,000",,
"SILVERBOW RESOURCES, INC.",351817,20-3940661,SBOW,NYSE,"920 MEMORIAL CITY WAY","SUITE 850",HOUSTON,Harris,TX,TEXAS,"US Southwest",77024,"(281) 874-2700",,,1311,"Crude Petroleum and Natural Gas",211111,"Crude Petroleum and Natural Gas Extraction",34,,"BDO USA LLP",11761,,Houston,TX,TEXAS,"US Southwest",202061,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2022-03-03,,https://www.sec.gov/Archives/edgar/data/351817/000035181722000009/0000351817-22-000009-index.htm,edgar/data/351817/0000351817-22-000009.txt,10-K,"2022-03-03 16:08:01",,,,,0,,USD,"772,323",0,"772,323",23.4,2021-12-29,"344,602,560",2021-12-31,"407,200,000","86,759,000",,"819,454,000",,
"USD Partners LP",1610682,30-0831007,USDP,NYSE,"811 MAIN STREET","SUITE 2800",HOUSTON,Harris,TX,TEXAS,"US Southwest",77002,"(713) 249-0426",,,4013,"Railroad Switching and Terminal Establishments",488210,"Support Activities for Rail Transportation",34,,"BDO USA LLP",11761,,Houston,TX,TEXAS,"US Southwest",202082,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2022-03-03,,https://www.sec.gov/Archives/edgar/data/1610682/000161068222000024/0001610682-22-000024-index.htm,edgar/data/1610682/0001610682-22-000024.txt,10-K,"2022-03-03 16:17:31",,,,,0,,USD,"800,000",0,"800,000",5.21,2021-12-29,"141,842,784",2021-12-31,"204,485,000","22,829,000","-27,031,000","247,016,000",,
"Everi Holdings Inc.",1318568,20-0723270,EVRI,NYSE,"7250 S. TENAYA WAY","SUITE 100","LAS VEGAS",Clark,NV,NEVADA,"US West",89113,"(800) 833-7110",,,7990,"Services-Miscellaneous Amusement & Recreation",522390,"Other Activities Related to Credit Intermediation",34,,"BDO USA LLP",11761,,"Las Vegas",NV,NEVADA,"US West",201330,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2022-03-01,,https://www.sec.gov/Archives/edgar/data/1318568/000131856822000035/0001318568-22-000035-index.htm,edgar/data/1318568/0001318568-22-000035.txt,10-K,"2022-03-01 06:26:38",,,,,0,,USD,"874,000","56,000","930,000",21.21,2021-12-29,"1,929,656,704",2021-12-31,"660,385,000","152,925,000","-722,757,000","1,635,650,000",,
"SKECHERS USA INC",1065837,95-4376145,SKX,NYSE,"228 MANHATTAN BEACH BLVD",,"MANHATTAN BEACH","Los Angeles",CA,CALIFORNIA,"US West",90266,"(310) 318-3100",,,3140,"Footwear, (No Rubber)",424340,"Footwear Merchant Wholesalers",34,"S&P 400 MidCap","BDO USA LLP",11761,,"Los Angeles",CA,CALIFORNIA,"US West",200491,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2022-02-25,,https://www.sec.gov/Archives/edgar/data/1065837/000156459022007170/0001564590-22-007170-index.htm,edgar/data/1065837/0001564590-22-007170.txt,10-K,"2022-02-25 16:16:44",,,,,0,,USD,"2,527,100","309,700","2,836,800",43.83,2021-12-29,"5,912,782,336",2021-12-31,"6,310,187,000","741,503,000","3,165,847,000","6,491,280,000",,
"ZIFF DAVIS, INC.",1084048,47-1053457,ZD,"NASDAQ Global Select Market","114 5TH AVENUE",,"NEW YORK","New York",NY,"NEW YORK","US Mid Atlantic",10011,"(212) 503-3500",,,4822,"Telegraph and Other  Message Communications",517110,"Wired Telecommunications Carriers",34,"S&P 400 MidCap","BDO USA LLP",11761,,"Los Angeles",CA,CALIFORNIA,"US West",203114,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,No,2021-12-31,2021,2022-03-14,,https://www.sec.gov/Archives/edgar/data/1084048/000108404822000015/0001084048-22-000015-index.htm,edgar/data/1084048/0001084048-22-000015.txt,10-K,"2022-03-14 21:26:27","|Acc - Acquisition, merger, disposal or reorganization issues|",,,"|IC - Accounting documentation, policy and/or procedures|",1,"|Ex - Acquisition(s) during the past year (exemption)|",USD,"5,440,329","585,359","6,025,688",110.57,2021-12-29,"5,331,772,928",2021-12-31,"1,416,722,000","496,714,000","-136,447,000","3,763,265,000",,
"ENTRAVISION COMMUNICATIONS CORP",1109116,95-4783236,EVC,NYSE,"2425 OLYMPIC BLVD","STE 6000 WEST","SANTA MONICA","Los Angeles",CA,CALIFORNIA,"US West",90404,"(310) 447-3870",,,4833,"Television Broadcasting Stations",515120,"Television Broadcasting",34,,"BDO USA LLP",11761,,"Los Angeles",CA,CALIFORNIA,"US West",203250,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2022-03-16,,https://www.sec.gov/Archives/edgar/data/1109116/000095017022003821/0000950170-22-003821-index.htm,edgar/data/1109116/0000950170-22-003821.txt,10-K,"2022-03-16 06:08:20",,,,,0,"|Ex - Acquisition(s) during the past year (exemption)|",USD,"1,847,000","858,000","2,705,000",6.75,2021-12-29,"416,785,696",2021-12-31,"760,192,000","29,292,000","-87,869,000","851,342,000",,
"PLBY Group, Inc.",1803914,37-1958714,PLBY,"NASDAQ Global Market","10960 WILSHIRE BLVD","SUITE 2200","LOS ANGELES","Los Angeles",CA,CALIFORNIA,"US West",90024,"(310) 424-1800",,,5900,"Retail-Miscellaneous Retail",511120,"Periodical Publishers",34,,"BDO USA LLP",11761,,"Los Angeles",CA,CALIFORNIA,"US West",203388,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,No,2021-12-31,2021,2022-03-16,,https://www.sec.gov/Archives/edgar/data/1803914/000180391422000011/0001803914-22-000011-index.htm,edgar/data/1803914/0001803914-22-000011.txt,10-K,"2022-03-16 17:03:59","|Acc - PPE , intangible or fixed asset  (value/diminution) issues|Acc - Inventory, vendor, and cost of sales issues|Acc - Acquisition, merger, disposal or reorganization issues|Acc - Tax expense/benefit/deferral/other (FAS 109) issues|",,,"|IC - Inadequate disclosure controls (timely, accuracy, completeness)|IC - Accounting documentation, policy and/or procedures|IC - Information technology, software, security & access issues|",6,"|Ex - Acquisition(s) during the past year (exemption)|",USD,"1,392,000","25,000","1,417,000",25.94,2021-12-29,"1,073,401,920",2021-12-31,"246,586,000","-77,676,000","-266,738,000","935,407,000",Yes,
